intraday_price,market_cap,price_change,stock_name,volume
57.06,N/A,(+0.51%),Shell plc (SHEL),"6,519,483"
5.52,18.645B,(0.00%),Telefonaktiebolaget LM Ericsson (publ) (ERIC),"6,593,968"
43.66,58.281B,(+2.15%),Truist Financial Corporation (TFC),"6,681,181"
10.79,5.667B,(0.00%),UiPath Inc. (PATH),"6,756,601"
40.86,8.085B,(-0.15%),"DocuSign, Inc. (DOCU)","6,499,651"
22.46,21.411B,(0.00%),Regions Financial Corporation (RF),"7,512,637"
84.85,152.256B,(+0.13%),Morgan Stanley (MS),"6,839,976"
54.70,13.937B,(-0.37%),Royal Caribbean Cruises Ltd. (RCL),"7,082,069"
8.38,N/A,(0.00%),Rithm Capital Corp. (RITM),"6,348,325"
2.3400,4.385B,(+0.43%),Companhia Energética de Minas Gerais (CIG),"7,135,744"
45.02,7.003B,(-0.09%),"Okta, Inc. (OKTA)","7,502,867"
69.81,189.827B,(+0.03%),Alibaba Group Holding Limited (BABA),"49,341,321"
43.41,10.63B,(+0.02%),Agnico Eagle Mines Limited (AEM),"7,131,655"
5.97,58.386B,(0.00%),Itaú Unibanco Holding S.A. (ITUB),"45,363,006"
18.22,26.421B,(+0.11%),"Annaly Capital Management, Inc. (NLY)","7,155,583"
86.58,57.472B,(-0.06%),Alphabet Inc. (GOOGL),"51,124,904"
141.56,352.768B,(+0.13%),NVIDIA Corporation (NVDA),"60,977,012"
9.00,10.492B,(-0.11%),Carnival Corporation & plc (CCL),"51,233,084"
10.43,N/A,(-0.29%),"Warner Bros. Discovery, Inc. (WBD)","59,395,536"
5.18,4.142B,(+0.58%),"SoFi Technologies, Inc. (SOFI)","53,554,192"
90.79,N/A,(-0.17%),"Meta Platforms, Inc. (META)","52,356,576"
7.88,7.17B,(+1.40%),XPeng Inc. (XPEV),"60,282,201"
8.51,7.702B,(+0.47%),Gold Fields Limited (GFI),"67,101,343"
7.93,15.898B,(-0.63%),Palantir Technologies Inc. (PLTR),"62,679,368"
12.65,82.505B,(-0.71%),Petróleo Brasileiro S.A. - Petrobras (PBR),"77,681,096"
13.51,53.989B,(0.00%),Ford Motor Company (F),"60,845,757"
14.39,69.806B,(+0.07%),Vale S.A. (VALE),"83,272,333"
207.47,208.354B,(+0.71%),"Tesla, Inc. (TSLA)","97,214,355"
62.19,75.101B,(-0.21%),"Advanced Micro Devices, Inc. (AMD)","84,701,331"
11.31,4.598B,(+1.86%),DraftKings Inc. (DKNG),"78,665,530"
4.8900,4.71B,(0.00%),Yamana Gold Inc. (AUY),"120,994,547"
11.68,18.578B,(+0.43%),NIO Inc. (NIO),"123,622,995"
90.98,46.14B,(+0.19%),"Amazon.com, Inc. (AMZN)","129,101,336"
